statement,label_binary
On an earmark moratorium.,1
Says Gov. Chris Christies decision to close the Elizabeth MVC saved no money.,1
This is the first time since World War II that five nuclear-powered aircraft carriers were docked together.,1
This is the true picture of Milwaukees Renaissance after 12 years of Mayor Tom Barretts leadership.,1
"The Mormon religion has ""a plan that will see the Constitution thrown out and replaced by a theocracy.""",1
Says U.S. Rep. Martin Heinrich spent a trillion of our tax dollars on a stimulus for failed companies here and jobs overseas.,1
"Says he has a fiduciary responsibility to his business, his family and his employees to pay no more tax than legally required.",1
Teachers were not involved in developing the Common Core State Standards.,1
20 million people could lose their current coverage including our senior citizens who are on Medicare.,1
The Obama administration will give Pennsylvania $160 million to pay for health insurance plans that cover any legal abortion.,1
"Dan Seals has been running for office since before there were, like, iPods.",1
President Barack Obama has virtually no one in his cabinet with private-sector experience.,1
"Wikileaks also shows how John Podesta rigged the polls by oversampling Democrats, a voter suppression technique.",1
The founders of New Hampshire came up with the motto Live Free or Die.,1
Says President Obama has waived the work requirement for welfare.,1
Atlanta Public Schools 2011 CRCT tests were given under the strictest security possible.,1
"English ""is our national language...if it becomes official, that means in a place like New York City you can't print ballots in any other language.""",1
Virginia House Speaker Bill Howell is allied to group pushing MIXED SEX BATHROOMS in Stafford Schools.,1
"In 2011, (the Islamic State) attempted to attack Fort Knox.",1
No doctors who went to an American medical school will be accepting Obamacare.,1
"Nothing was done. I mean, $25 million was spent, but we dont have that (gun ownership)database.",1
The Free Flow of Information Act of 2009 would guarantee Barack Obama will never be held accountable for producing forged birth documents.,1
Pediatricians have cut down on the number and proximity of vaccines because they recognize there have been too many in too short a period of time.,1
Says Chuck Hagels nomination as defense secretary has been publicly celebrated by the Iranian government.,1
Sheldon Whitehouse and 18 other senators voted to censor the internet.,1
Those who fail to buy health insurance under Obamacare face the threat of jail time.,1
"Obamas Justice-designate Sotomayor threw out (the New Haven firefighters) lawsuit in a sneaky, unsigned opinion -- the judicial equivalent of talk to the hand.",1
"Social Security, like I told you, is out of money. This year it is borrowing from the general treasury.",1
"100 percent of the crime is committed, in estimate, by about 15 percent of the population.",1
"Frankly, (Hillary Clinton) doesnt do very well with women.",1
"Says President Barack Obama said when we got bin Laden, terrorism problem solved.",1
The Benghazi victims were left helpless to die as Hillary Clinton soundly slept in her bed.,1
"An amazing 5,400 jobs were lost in the first 12 months of the (smoking) bans implementation in Ohios hospitality industry alone.",1
The New York Times had to retract its story that Hillary Clintons email handling had broken certain laws.,1
"Says as we sit right now, Medicare, if we do nothing, will be gone in eight years, if we do nothing to it.",1
"Says Gov. Rick Scott lost Florida 331,247 jobs.",1
A transcript released by Occidental College proves that Barack Obama was an Indonesian citizen.,1
Ive been outspent by my opponents every time Ive run for U.S. Senate.,1
Says a $12.5 million incentive deal she approved for Abbott Laboratories contained strong protections for taxpayers if job creation goals were not met.,1
"For the first time in U.S. history, a personal inaction will be deemed unlawful -- not purchasing a health-insurance plan",1
Says U.S. Rep. Steve Southerland voted himself health care for life.,1
On possibly raising the Social Security retirement age.,1
I co-sponsored the Rebuild America Jobs Act for transportation and infrastructure.,1
Ive either balanced every budget or we turned back a surplus.,1
Says Michelle Obama has 43 people on her staff; Nancy Reagan had just 3.,1
On choosing a Texas House speaker,1
Peter DeFazio will sneak in a 1 percent tax on all banking transactions.,1
Says Mahmoud Ahmadinejad said that if he has a nuclear weapon he will use it to wipe Israel off the face of the earth. He will use it against the United States of America.,1
One out of every three students currently today is ready for college before they go there.,1
Says unemployment in Ohio is significantly higher than the unemployment rate in states which are not forced union states and its always been that way.,1
Donald Trump says all Mexicans are rapists.,1
"People can use food stamps for anything, including to go to Hawaii, and even millionaires can qualify.",1
"Says Hillary Clinton presided over $6 billion lost at the State Department, sold uranium to the Russians through (her) faux charity, illegally deleted public records, and murdered an ambassador.",1
"When the Affordable Care Act was signed, 17 million American children had a pre-existing condition and were uninsurable.",1
"You cant read a speech by George Washington . . . without hearing him reference God, the Almighty.",1
Says Republican candidates in key Wisconsin Assembly races side with those who want to privatize Social Security -- and risk our retirements on Wall Street.,1
There are high administrative costs when you donate to Haiti relief through the White House Web site.,1
The incandescent light bulb has no effect whatever on the planet.,1
Says U.S. Senate rival Tommy Thompson ran Medicare into the ground and nine years closer to bankruptcy.,1
I played in a game here against the Pittsburgh Steelers where there was 23 inches of snow. We played in at least 15 inches of that.,1
The Ukraine Orange Revolution in 2004 was the first color revolution.,1
On whether the governor of Massachusetts should be able to appoint an interim U.S. senator,1
"When the New Hampshire Legislature raised the gasoline tax, gas prices in the state were skyrocketing.",1
"Says Barack Obama is a hypocrite for criticizing President George W. Bushs drone attack program, then using it aggressively as president.",1
"The federal government is sending refugees to states with governors who are Republicans, not to the Democrats.",1
The Constitution simply does not authorize the federal government to own any of this land (in the Western states).,1
Says Barack Obama never worked in the private sector before he was elected president.,1
"If we went back to the obesity rates that existed back in the 1980s, the Medicare system over several years could save as much as a trillion dollars.",1
Says Texas did not bail out a loan program he oversaw as state agriculture commissioner.,1
"John McCain has ""a consistent pattern of ducking important environmental votes.""",1
"None of the polls being conducted right now have us on the top line. None of them. Its always Trump and Clinton and then second question, third question. ... If we were included in the top line, as Johnson/Trump/Clinton, wed be at 20 percent.",1
Say the ratio of CEO pay to average worker pay in the U.S. is 475 to 1.,1
"(Brendan) Doherty wants to raise the eligibility age for Social Security benefits for anyone born after 1960, with no regard for the challenges it would cause for people working in physically demanding occupations.",1
"Under current policies, were going to reduce the overall debt of the United States by $3 trillion over the next 10 years.",1
SaysHillary Clinton took 13 hours to send help to Americans under fire during the terrorist attack in Benghazi.,1
Says that Sen. Sherrod Brown is out there egging on a lot of these protesters who are spitting on policemen and going to the bathroom on policemens cars at these protests on Wall Street and other places.,1
We have my opponent Sam Olens to thank for [the Arizona immigration ruling] since he was on the team that got Clinton elected.,1
"Says that according to a study, under Obamas health care initiative, nearly 90 percent of people in Wisconsin with health insurance will have their costs go up by more than 30 percent.",1
"On new dollar coins, In God We Trust is gone!",1
"In the 1990s, the Biden Crime Bill added 100,000 cops to America's streets. As a result, murder and violent crime rates went down eight years in a row.",1
Says union bosses bused protesters to aCentral Florida education protest.,1
"In the history of Republican primaries, Ive gotten the most votes in the history of the Republican party.",1
Says allegations that he made unwanted sexual advances on a female sheriffs deputy were found by two separate judges to not have merit.,1
Pam Bondi refuses to take a position on the gay-adoption ban.,1
Most tips left at Dunkin Donuts dont go to employees.,1
"Barack Obama has ""reversed"" on his commitment ""to begin withdrawing American troops from Iraq immediately.""",1
"The U.S. gives foreign aid to Cuba and Venezuela, even though those countries are our enemies.",1
"The Massachusetts Supreme Court...defined marriage as simply, quote,the establishment of intimacy ... I guess that would mean if you really had affection for your horse, I guess you could marry your horse.",1
New federal projections estimate that the health care overhaul will cost $1.76 trillion over 10 years -- well above the $940 billion Democrats originally claimed.,1
"Says a man in Ferguson, Mo., was photographed holding a sign that said, No mother should have to fear for her sons life every time he robs a store.",1
"Barack Obama wrote a thesis at Columbia University in which he criticized ""plutocratic thugs"" and said the Constitution gave Americans ""the shackles of hypocrisy.""",1
Today gasoline hit $6 a gallon in Florida.,1
Residential property taxes [in Providence] are up nearly 27 percent under Mayor Taveras.,1
I have tremendous support from women.,1
Dolphins are rapists. Look it up.,1
The federal government has not engaged in (border security) at all.,1
I did not say that I would not have them [Muslims] in my Cabinet.,1
Says President Barack Obamas parents were communists.,1
Milwaukee police and firefighters are routinely getting 4 percent raises annually while everybody else is either getting zero or one percent raises.,1
ISIS leader Abu Bakr al Baghdadi was released by Obama in 2009.,1
"Says when he was governor, Wisconsin cut unemployment to 2.1 percent and the states unemployment rate was the lowest in the country for 40 consecutive months.",1
Says Gov. Scott Walker said no to equal pay for equal work for women.,1
"By the word religion in the First Amendment, the founders meant Christianity.",1
"Preventive care ""saves money.""",1
"There are more atheists in the country right now than Jews, Muslims, Hindus and Buddhists combined and doubled.",1
The increase in the garbage tax that [Mayor Allan Fung] imposed in Cranston for some people has been as much as $200.,1
Federal government reneging on Medicaid payments to Wisconsin caused about $240 million in extra costs in the 2013-15 state budget.,1
President Bush never did one interview with the New York Times during his entire presidency.,1
"If you make more than $250,000 a year you only really take home about $125,000.",1
"The more than $800,000 raised by the Alan Grayson campaign last quarter was ""#1 among all 435 members of the U.S. House of Representatives.""",1
The new health care law will force seniors into Barack Obamas government-run health care program.,1
"if the Agreement goes into effect, the millions of Mexican citizens who will become eligible for Social Security benefits may have a far stronger claim to benefits and protection against cuts than U.S. citizens!",1
Politicians and their corporate lobbyists are trying to take away my right to spend my paycheck how I want.,1
We have not taken away any rights that have currently existed in any city in North Carolina with the passage of HB2.,1
Giving money to politicians has paid off for Paul Workman. Workman gave thousands to politicians and got millions in government construction projects.,1
Roughly 25% of RI has a criminal record,1
"During the lead-up to the American Revolutionary War, some guy in Boston got his head blown off because he tried to secretly raise the tax on tea.",1
Says his barehanded catch posted on YouTube is real.,1
"Says the Southwest Florida Water Management District has $850 million in reserves, enough money in savings to run without levying taxes for more than two years.",1
House Republicans required the use of Styrofoam cups in House cafeterias that are part of Koch Industries.,1
Oregon is the most trade-dependent state in the nation,1
"Says Tammy Baldwin supports a law in which government will take over your decisions on medicine, on doctors and on hospitals.",1
"Hillary Clinton says she wants to, raise taxes on the middle class.",1
"Kasichs trade deals cost Ohio thousands of jobs - 49,000 jobs to Mexico, 91,000 to China.",1
Why do we have automatic citizenship upon birth? Were the only country in the world that has it.,1
The attorney general requires that rape victims pay for the rape kit.,1
Says in 1944 we were in debt more than twice as much as we are now.,1
SaysPresident Obama hijacked the farm bill (and) turned it into a food stamp bill.,1
"The Obama-Clinton war on coal has cost Michigan over 50,000 jobs.",1
Not even Tim Kaine is willing to say he trusts Hillary Clinton.,1
Kendrick Meek was named one of the two most corrupt Democrats in Congress by Citizens for Responsibility and Ethics in Washington.,1
One of George Soros companies has provided some of the (voting) machines for some states.,1
Georgia has the most lax gun laws in the nation.,1
The Chinese are there in Syria.,1
"Says Rep. Tammy Duckworth has been a staunch supporter of expanding the spending, size and reach of the IRS.",1
Says the Donald J.Trump Foundations money is his money.,1
"Says pension contributions under Gov. Chris Christie would represent 75 percent of the total contribution made between the years 1995 and 2010. Thats right, in 15 years, total state contribution was only $2.1 billion.",1
"When the Fair Tax becomes law, it will be like waving a magic wand releasing us from pain and unfairness.",1
Says Joe Kyrillos voted to raid the states pension funds by $2.8 billion that is costing New Jersey taxpayers still today to the tune of nearly $15 billion dollars to repay that money.,1
"For the amount of money Hillary Clinton would like to spend on refugees, we could rebuild every inner city in America.",1
"I am the only candidate who ran in either primary who said, I will not raise taxes on the middle class.",1
Super Bowl Sunday has the highest rate of domestic violence.,1
Says legislative debate of airport pat-down procedures initiated federal changes in security procedures.,1
Says Hillary Clinton doesnt believe in your right to keep a gun at home for self-defense.,1
On whether BPs $20 billion fund to compensate oil spill victims is a slush fund.,1
Barack Obama appeared in the video for 'Whoomp! (There it is!)',1
Says her representation of an ex-boyfriend who was then my friend in a family law case is something that lawyers do on a regular basis.,1
Says Bruce Braley threatened to sue a neighbor over chickens that came onto (his) property.,1
"Sen. Sherrod Browns vote helped pass Barack Obamas job-killing health care law, which slapped small businesses throughout Ohio with a $500 billion tax increase.",1
Theres no wildlife in the Arctic National Wildlife Refuge.,1
Virginia is home to more veterans per capita than any state in America.,1
"I am the only person in this field who is against amnesty. Every other person in this field wants to allow people who are here illegally to be able to stay here, in one form or another.",1
A proposed San Antonio ordinance will allow men into womens restrooms in the city.,1
Bill White has presided over the construction of what may be the worlds largest abortion clinic.,1
"New Jersey alone, my home state, is facing a ten-and-a-half billion dollar shortfall in its 2012 fiscal budget. This means more cuts in state and local spending for education, which means our kids are hurt.",1
Idaho Republican Rep. Mike Simpson is a liberal who voted with Nancy Pelosi to fund sex study programs of San Francisco prostitutes and to regulate the sale of firearms.,1
Congress is a very special group of people. More than 80 percent of them never left the United States.,1
"Although the governor doubled the beach fees . . . all the money, as we found out, is all going to an out-of-state company. The state isnt even getting the money for that.",1
"Oregon Rep. Tina Kotek, D-Portland, has never held a job nor run a business",1
"Obama said troops ""whine about bearing the costs"" of going to war.",1
Says Steve Jobs was responsible for creating more jobs than the stimulus bill.,1
Justice John Roberts Signed Off On Obamas Arrest For Treason.,1
"Last year, I was involved with an effort to to help prosecutors get their first pay raise in more than 10 years.",1
"An Obamacare slush fund paid to spay and neuter dogs and cats, then counted it as an anti-obesity campaign.",1
"The wife of the Ferguson, Mo., police chief said African-Americans in Ferguson are feral and violent.",1
"Credit agency says Rep. Gibbs recklessly caused downgrade, higher interest rates.",1
"Says Sen. John McCain spent the July 4 weekend in Islamabad, Pakistan, selling F-16s and advanced weapons to the folks who harbored Osama bin Laden.",1
"In 2009, the state Legislature passed more than $5 billion in tax increases.",1
Abortionists have reduced our black population by more than 25 percent since 1973.,1
Wisconsin is one of the few states in the country that do not currently require a photographic identification to vote.,1
"The United States is not building the aircraft, the long-range bombers, the additional aircraft carriers, the nuclear submarines.",1
"Wisconsin uses voting machines that are outlawed, they are illegal.",1
On high-speed rail.,1
Congressman Renacci is under FBI investigation.,1
"Congressional lawmakers earn their salaries FOR LIFE, which for House Minority Leader Nancy Pelosi would add up to $803,700 Dollars a year for LIFE including FREE medical.",1
"Were the seventh highest taxed state in America. And thats not just state, its local as well.",1
Says Rick Scott called education not a core function of the state.,1
Portland Schools spend $500K to deem PBJ sandwiches racist.,1
"When one person sneezes, it goes all the way through the aircraft.",1
"The weight of the evidence (on global warming) is that most of it, maybe all of it, is because of natural causes ... its fair to say the science is in dispute.",1
The Governor did not consult members of his own party before he released his [transportation] plan.,1
"Cancer and matters to do with kidney failure kill more people in Kenya today than malaria, tuberculosis and AIDS combined.",1
Repealing Obamacare saves our nation more than $2 trillion.,1
The fact that Rick Scott is running for governor as a 'reformer' would be funny if it wasn't so outrageous. This is a man who barely escaped imprisonment.,1
The United States has a record number of abortions year after year after year.,1
Says the national heath care reform is a government takeover of health care.,1
Says Gov. Scott Walker is cooking the books by releasing numbers he just dreamed up that show Wisconsin gained jobs in 2011.,1
"Thirty million Americans, including a lot of people in Florida, are going to be able to get healthcare next year because of that law.",1
"Says nobody in higher education believes Gov. Rick Perrys proposal to serve up $10,000 college degrees is possible.",1
"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises.",1
"We're building a nearly $40-billion natural gas pipeline, which is North America's largest and most expensive infrastructure project ever.",1
Wisconsin Gov. Scott Walkers move to limit collective bargaining rights has led to riots at the Capitol -- Its like Cairo has moved to Madison these days.,1
About $4.89 billion in one-time money was used to balance the current state general revenue fund budget.,1
McCain opposed the border fence.,1
"Says Lee Leffingwell has been mayor of Austin, Texas for about as long as Sarah Palin was governor of Alaska.",1
"Says, In the last four years weve cut $36 million in ongoing revenue.",1
Says he got lobbied by a woman with late-stage cancer about vaccinating Texas girls against a virus that can cause cervical cancer.,1
Nevada is still a state that is 80 percent white voters.,1
"Says 7,000 millionaires gamed the system to pay no income taxes.",1
Illegal immigration costs state taxpayers over $3 billion every year.,1
"Over the last two years since President Obama has taken office, the federal government has added 200,000 new federal jobs.",1
25% of human trafficking victims are located in Texas.,1
"I just talked about guns. I told you what my position was, and what I did as governor, the fact that I received the endorsement of the NRA.",1
"Thirty-seven percent of Central Falls retired police officers and firefighters are out on disability pensions; in most municipalities, about 5 percent of retirees collect disability pensions.",1
We saw the president of the United States engage American troops in a fourth conflict in a foreign land. This is historic.,1
Says Peter Kilmartin has only three years experience in his own law practice.,1
"Health care reform ""establishes a new board of federal bureaucrats (the 'Health Benefits Advisory Committee') to dictate the health plans that all individuals must purchase.""",1
"Under Floridas voting law, a requirement to turn in voter registrations within 48 hours makes it impossible to meet the deadline if youre working right to the end of the week.",1
"Says his GOP challenger, Doug MacGinnitie, ""hadnt voted in a Republican primary for almost 20 years until 2008.",1
92 percent of President Barack Obamas administration has never worked outside government.,1
Says he has yet to get a response from Barack Obama to his August 2010 letter making border security requests.,1
"In 2006, Planned Parenthood performed more prevention services and cancer screenings than abortions, but in 2013, there were more abortions.",1
We had a press conference here that interestingly no one in the mainstream media covered.,1
"Says former Federal Reserve Chairman Alan Greenspan said that if the workers are more insecure, thats very healthy for the society because theyll serve the masters gladly and passively.",1
Latinos now make up the majority population in Texas.,1
On whether to run for the U.S. Senate as an independent.,1
This president went before the United Nations and castigated Israel for building settlements. He said nothing about thousands of rockets being rained in on Israel from the Gaza Strip.,1
Texas this fiscal year will have more money in reserve than the other 49 states combined.,1
Says recall organizers started their website last November and began work on their effort before he even took office.,1
The countrys bankrupt.,1
The biggest contribution behind a decrease in U.S. unemployment was 1.2 million people leaving the workforce,1
The path to ObamaCare becoming law all started with Charlie Crist supporting President Obama's $787 billion stimulus.,1
"For [GM] to pay back everything it owes, it would have to sell its shares at $143 a share . . . where the highest value of a General Motors share ever was $43, $44, $46, whatever the dollars were . . .",1
The word progressive...was created as a substitute forcommunist.,1
Says he won the popular vote if you deduct the millions of people who voted illegally.,1
Says John Kitzhaber wants a sales tax so people without jobs pay taxes.,1
When I was U.S. Attorney we wound up putting 10 percent of the state Legislature in jail during my seven years.,1
"Obama ""shunned the opportunity to talk to soldiers to thank them for their service.""",1
South Korea doesnt pay the United States for U.S. troops that protect their country.,1
"Says Barack Obama said, If we keep talking about the economy, were going to lose.",1
The ACLU has filed a suit to have all military cross-shaped headstones removed.,1
Obamacarerepresents the largest tax increase in the history of the world.,1
Says many states are floundering under crushing deficit spending.,1
Lindsay Parkhurst wants to take away programs like Social Security and Medicare that seniors have earned throughout their lifetimes.,1
Rhode Island is leading our nation in foreclosures.,1
"The average student will be spending $1,700 to $1,800 more during the life of their loan because of this surcharge.",1
Rob Portman is the one who actually sucked the jobs out of the (Mahoning) Valley and sent them to China.,1
"Should Democrats get their way, every income tax bracket will increase on Jan. 1, 2011. Every single one.",1
Under the Obama plan . . . all the health care in this country is eventually going to be run by the government.,1
Scott Walkers school-aid cuts were so devastating that students are without chairs and a government survey found 47 kids in a classroom.,1
"Says it cost Massachusetts taxpayers $100,000 when Mitt Romney and his staff purchased computer hard drives.",1
"Hillary's baby bond proposal would give $5,000 to each of the 4-million babies born in the U.S. each year, totaling $20-billion per year, multiplied by four years = $80-billion.",1
Obamacare is the biggest tax increase in American history.,1
"Sarah Palin ""has more experience than Barack Obama.""",1
Says attorney general candidate Jon Richards went so far to say he would only enforce the laws with which he personally agreed.,1
Hillary Clinton invented ISIS with her stupid policies. She is responsible for ISIS.,1
The Obama administration shut down the Amber Alert program because of the government shutdown.,1
"The city building code violations on my properties only involve exterior issues; within the households, its fine.",1
"Lots of studies seem to indicate that minors find it very easy to get marijuana, easier than to get alcohol.",1
"Says under his budget-repair bill, collective bargaining is fully intact.",1
There are more oil rigs in operation in the United States than the rest of the world combined.,1
"The form students fill out to get college financial aid is ""longer than the form to get U.S. citizenship.""",1
Says Texas legislators in 2011 increased state spending on education.,1
"The 90 percent statistic ofsupporting background checks, thats been debunked.",1
"Until the new Iran deal, China and Russia have never voted with us at the U.N. on any sanctions on Iran in the past.",1
Warren Buffett recently said Scrap Obamacare and Start All Over.,1
Medicaid expansion could cost the Commonwealth of Virginia over $1 billion a year...,1
The Mexican government ... they send the bad ones over.,1
Michelle Obama ordered $400 worth of lobster and caviar at a New York hotel.,1
"Minnesotas advantage in economic growth has been having Republicans in charge of at least one part of government for all but two years, while Wisconsin Democrats for many years before 2011 controlled both legislative chambers and the governorship.",1
Austin is burdened by the fastest-growing tax increases of any major city in the nation.,1
Says he has supported George Bush more than I have Barack Obama.,1
Says for the duration of this recession not a single person in government middle management has lost (a) job or taken a pay cut.,1
Scott Walker gave Wisconsin job creation money to his cronies: corporate friends who contributed to his campaigns and got $570 million in job-development incentives,1
Health care premiums up 90 percent in New Hampshire.,1
Says Hillary Clinton refuses to testify before Congress about the 2012 attack in Benghazi.,1
On support for Ronald Reagans policies,1
The wives of the 9/11 hijackers knew exactly what was happening and went back to Saudi Arabia two days before the attacks to watch their husbands on television flying the planes.,1
Were the only system of federalism in the world.,1
The birther movement was started by Hillary Clinton in 2008. She was all in!,1
"Romneycare sent costs spiraling out of control in Massachusetts, hiking premiums, squeezing household budgets.",1
"When Disney was looking to build Disney World, they came to Miami and we told Disney to take a hike.",1
A recent report from the presidents deficit commission was completely empty on controlling health care costs.,1
Says Michelle Obama waved red communist flags on her trip to China.,1
Herman Cain is a pro-choice candidate.,1
SaysPresident Obama and his allies in Congress gave power to control Medicare patients health care decisions to a commission of 15 unelected bureaucrats in Washington.,1
Says the University of Wisconsin football program is spending almost all of its Bowl Championship Series payout on a Rose Bowl junket for politically connected officials,1
"Photo of ""tea party"" protests shows crowd sprawling from Capitol to Washington Monument",1
Says Ken Cuccinelli attacked churches for helping the poor.,1
States still face a mandate to expand Medicaid coverage under President Obamas health care reform law.,1
"Says Democratic challenger for his N.C. House seat raised taxes on clothing, school supplies even baby diapers!",1
On the status of illegal immigrants,1
"The chairman of the party of Florida, who is an avid and outward supporter of Marco Rubio, gets to appoint 30 of those delegates.",1
Says Gov. Scott Walkers proposed budget would sell off Wisconsins state parks.,1
Gov. Chris Christie owes the state money for amenities like extra Gorgonzola cheese for his staff on these trips.,1
There were fewer civilian casualties in Cambodia than there have been from American drone attacks.,1
I finished the controversyabout wherePresident Barack Obama was born.,1
Attorney General Eric Holder is involved in the dismissal of the criminal charges against the New Black Panther Party for voter intimidation,1
About 800 people refused to get a drug screening because they are out there on drugs.,1
Siemens has been unable to fill approximately 200 skilled trade positions in metro Atlanta.,1
Says Wisconsin Gov. Scott Walker is denying Democrats the right to vote.,1
We just had someone last week in Neenah near a school kill someone with a bow and arrow.,1
Saysproposal to boostteacherpension fundputs no mandate on local government.,1
We dont need a separate (prescription drug) database ... Pharmacies already have a database in place.,1
"There are actual cities like Birmingham, England, that are totally Muslim where non-Muslims just simply dont go in.",1
On a balanced budget amendment.,1
"While (Chris Christie) talks about job creation, we dont see jobs being created in this state.",1
"Says Travis County, home to Austin, is the most liberal county in the United States.",1
Mitchell International Airport is the the third busiest airport in the world and the number one busiest in the country.,1
Six convictions are connected to an allegation by prosecutors that Gov. Scott Walker is at the center of a criminal scheme.,1
The Washington D.C.-area never has a recession.,1
AIG insures the pension trust of the United States Congress!,1
"We have a fire marshal that said, Oh we cant allow more people ... And the reason they wont let them in is because they dont know what the hell theyre doing.",1
Under the Iran deal: If Israel attacks Iran were supposed to be on Irans side.,1
The crime rate in some Atlanta neighborhoods has dropped by 35 to 51 percent.,1
The 2011 Legislature did not cut Texas public school funding.,1
78702 is the second-most gentrified ZIP code in the entire country.,1
Says Hillary Clintons health care plan from the 1990s had a broader provision in favor of corporate right to back out of providing contraceptive coverage than the one created by the Hobby Lobby Supreme Court decision.,1
There was some sort of informal commitment to build a (psychiatric) building in downtown Cleveland.,1
Not a single unarmed white person has been shot by the police in New York in about 45 years.,1
Barack Obama has consistently voted against tougher penalties for criminals.,1
"But if my opponent had his way, the millions of Floridians who rely on it would've had their Social Security tied up in the stock market this week.",1
McGinty previously told a local community newspaper in her native Philadelphia that she has found an alarming undercurrent of misinformed people in the T part of the state outside of Philadelphia and Pittsburgh.,1
"Stimulus money funded a government board that made recommendations that would cost 378,000 jobs and $28.3 billion in sales.",1
Says President Franklin Delano Roosevelt sent his advisers to study socialism with Soviet dictator Josef Stalin so the president could replicate it in the United States.,1
Oregon is the only state out of the 50 states in the USA that continues to pay 100% of the medical benefits for its employees and their families.,1
"Gov. Rick Scott tried to kick 180,000 people off the voter rolls.",1
"I'm predicting (the Saints) will go not only undefeated, but all the way through the Super Bowl -- something that's never been done before.",1
"Three presidents in the last century Harding, Kennedy and Reagan all cut taxes during recessions and produced ""rapid and dramatic economic recoveries,"" while two, Herbert Hoover and Barack Obama, did ""the opposite.""",1
We have solved the problem. ... Scientists are now saying leave the nuclear waste where it is.,1
50 percentof murders in Texas have been linked to illegal aliens.,1
If it werent for me (illegal immigration) wouldnt even be a big subject.,1
My position hasnt changed on using executive authority to address immigration issues.,1
"Says President Barack Obama has taken less vacation days than any other president in a generation, while Congress has taken more vacation days than any other Congress in history.",1
U.S. Rep. Scott Rigell wants gun owners in a federal registration system.,1
Passage of a referendum on an aquarium for Clearwater means NO future funding for our neighborhoods.,1
"The Texas Capitol faces South toward Goliad, in memory of the most horrific battle of the Texas Revolution.",1
Commerce Secretary nominee John Bryson appears to endorse world government.,1
"The Republican-authored state budget includes a provision forcing people earning as little as $12,000 to buy private health insurance that could cost them as much as $4,000 per year.",1
"Says the United States is the only nation that affords citizenship to anyone born here, whether you are here legally or illegally.",1
"John McCain will keep the estate tax at 0 percent, the same as it is now.",1
Says Ralph Hall is the oldest member in Congress ever.,1
"While Americans pray for Paris, the government has acted on mandatory national vaccinations.",1
The reason 29 states no longer have a death tax is that the tax damaged their economic competitiveness.,1
"After actions by Gov. Scott Walker and Republicans, Wisconsin is dead broke.",1
"San Antonio has seen 67% growth in water customers in the last 25 years, 0% more water used.",1
"All the really great programs in American history, Social Security, was done without Republicans. Medicare was done without Republican support until the last vote where they realized they had to get on board.",1
Says Baltimore police are trained by Mossad and Shin Bet.,1
On whether he wrote a provision that allowed AIG to dole out bonuses.,1
On running for re-election to U.S. Senate,1
"Because of Obamacare, over the last two years, health care premiums have gone up -- its true -- but theyve gone up slower than any time in the last 50 years.",1
Says Ted Cruz just flip-flopped about the president needing to be U.S.-born.,1
Says Alex Sink failed Florida homeowners by using predatory lending practices.,1
"In K-12 education, our kids are scoring at the bottom of science and mathematics right now in the industrialized world -- at the bottom.",1
Says Donald Trump promised to take care of everybody (through government-run healthcare and) the governments going to pay for it.,1
"It's just outrageous that under President Bush, the National Institutes of Health have been basically decreased in funding.",1
"Barack Obama's plan calls for ""mandates and fines for small businesses.""",1
(Jack Kingston) had more earmarks at one time than every member of the Georgia delegation put together.,1
"When his grandfather arrived in the United States, there were no government benefits for immigrants.",1
"You and I know that in the history of mankind and womankind, government federal, state, local, or otherwise has never created one job.",1
Seventy percent of the people living in abject poverty are women.,1
"Says the health care law rations care, like systems in Canada and Great Britain.",1
Virginia papers called (Scott) Rigells campaign Mostly False.,1
"In Florida, illegal immigration costs taxpayers nearly $4 billion (a year). This amounts to $700 for every household in Florida.",1
"SaysMichele Bachmann said on Fox News, This country could use a president like Benjamin Franklin again.",1
Florida students take an array of standardized high stakes tests which eat up as much as 45 school days per year.,1
"Under my platform, I will make no changes to the current (Medicare) system for current retirees and anyone approaching retirement.",1
Says its not accidental that the villain in the Batman movie is named Bane.,1
"Says Bill White didnt pay taxes while earning $133,600 annual salary as deputy secretary of energy.",1
Says President Barack Obama is absolutely a Muslim.,1
Austins Pease Elementary is a school that was created as part of the Texas Constitution.,1
"Barack Obama wants to ""restore"" the estate tax that George W. Bush ""repealed.""",1
"Says Bernie Sanders wins California landslide, But ⅔ of his votes arent counted.",1
On the coal industry,1
Welders make more money than philosophers.,1
Everything I have said (on the campaign trail) has been factually accurate.,1
Says Gov. Rick Perry is spending Texans hard-earned money to live like Louie XIV.,1
"Obamacare means that for up to 20 million Americans, they will lose the insurance they currently have, the insurance that they like and they want to keep.",1
"When Hillary Clinton ran the State Department, $6 billion was missing. How do you miss $6 billion? You ran the State Department, $6 billion was either stolen they dont know.",1
Scott Walker has a plan to privatize state lands and wants to sell our deer to the highest bidder.,1
Bill Nelson actually voted in favor of higher taxes 272 times.,1
Funding the federal health care law without a tax hike will require the state to cut nearly a quarter of its annual budget.,1
"As usual, Hillary the Dems are trying to rig the debates so 2 are up against major NFL games.",1
Says he has engaged in the political process only in the past decade.,1
"Under Mayor Cicilline, [Providence] was a sanctuary city.",1
"Oregons three largest employers, and 13 of the top 25, are health care providers.",1
Now we have ISIS coming over the (U.S.-Mexico) border.,1
